accession_number,label,type
2004.062,"Windowpiece for Peninsula, Stadskantoor Eindhoven",poster
2015.038cc,"Every Night, from American Abstract Artists 75th Anniversary Print Portfolio",print
1997.111a,"Geminis, from a suite of four prints",print
2016.007.4,Girl with Crossed Arms,print
2004.027,The Black Cloak (Mrs. Paul Mellon),print
1964.014,"St. John's Church, Richmond, Virginia",poster
2001.123,Gillian Welch,poster
2003.051,Far from the Sea,poster
2005.029,Attraction,poster
2015.075.03,Das Schlafzimmer Fenster (The Bedroom Window),poster
2000.042,"Cher, June 29",poster
2000.033,The Un-known Hinson May 26,poster
2000.082,"Matrimonial Bliss, Jeff Collins, Melisa England, Hatch Show Print Poster",poster
1988.043,Man with Spring Plants,print
2017.001.048,Dance of Death - Last Sunset,print
2000.059,Damn Cool! Hank III,poster
2016.005.01,Vitality: Tone up your typographic skills!,poster
2001.126,I got a kick out of Music City,poster
2005.020,A Cold Empty Feeling,poster
2000.012,"Best of the best showcase April 28,1999",poster
2016.005.19,"Hand Made & Bound Nashville (Big Minds. Small Presses)-Watkins College of Art, Design, and Film",poster
2000.084,"The Cowslingers, Hatch Show Print Poster",poster
2017.001.052,Richard III,print
2000.030,"We Busted Rock For Country, June 17, 1999",poster
1999.159,Poster for 10 Seconds at Nancy Littlejohn Fine Art,poster
2001.091,Third Annual Halloween Bash,poster
1982.083,"The Louis XIV Deterrent, from the Revolutions Per Minute (The Art Record)",print
2004.058,Five Colours,artist’s book
2004.070,"Two Doors, from the portfolio Travaux Publics (Public Works)",artist’s book
2017.001.050,Daylight began to forsake the red-room from Jane Eyre,print
1999.141f,"The Follies of the Monks, from In Praise of Folly (Encomium Moriae)",print
1999.141c,"The Follies of Worshiping Idols, from In Praise of Folly (Encomium Moriae)",poster
1995.049,"I Need Your Skill in a War Job! If You Know One Of These Trades and Are Not Now In Real War Work, You Are Badly Needed",poster
2017.001.021,Ninth Hour,print
2000.037,"Mount McKinleys, May 21st",poster
1989.026,Title Unknown,print
1979.0919P,Brawl with Knives,print
1979.0060,Les Hyperréalistes,print
2012.008mm,"Sound-PM, from American Abstract Artists 60th Anniversary Print Portfolio",print
1999.141j,"The Follies of War, from In Praise of Folly (Encomium Moriae)",print
2012.008n,"Multilift, from American Abstract Artists 60th Anniversary Print Portfolio",print
2000.025,Bill Monroe Live From Mountain Stage,poster
2004.077,Being in the Moment,poster
2015.075.35,"Rafiki yangu, don't forget to take your ARVs. Jijenge. Chagua Maisha.",poster
2015.075.25,Schrei nach Freiheit: Leben und Tod des Steve Biko (Cry Freedom),poster
1980.010,Night in New York,print
2004.059,Laughing - Crying,poster
2000.031,"Ben Folds Five, Jude, May 30",poster
2006.002,Jeff Tweedy poster,poster
1999.156,Promotional poster for the Blue Moon Boys,poster
1988.044,Waldo Pierce,print
2000.051,"Digfest '99  The Sidemen, Deanna Bogart, Earl King, and Ray Bonneville",poster
1982.097,"Think Twice, from the ""Revolutions Per Minute (The Art Record)",print
2000.067,Flair Sew Your Wings On,poster
2005.024,Day of the Dog,poster
1976.013,"Afterglow (also called Geddington, England)",poster
1964.015,Quaker Bridge,print
1979.0761P,Foliate Heads II,print
1999.141b,"The Follies of Old Age, from In Praise of Folly (Encomium Moriae)",print
2005.022,Gillian Welch,poster
2001.085,"Buddy Guy, an American Blues Legend",poster
2001.148,Sock Monkey Music and Art Festival,poster
