qid,local_filename,local_identifier,rank,label,notes,kilobytes,height,width,photo_inception,subdir
Q104032831,2009.001cc.jpg,2009.001cc,suppress,,,64,504,389,2010-02-24,2009
Q104032832,2009.001d.tif,2009.001d,primary,,,218,389,504,2008-11-07,2009
Q104032832,2009.001d.jpg,2009.001d,suppress,,,94,389,504,2010-02-24,2009
Q104032833,2009.001dd.jpg,2009.001dd,suppress,,,112,504,336,2010-02-24,2009
Q104032833,2009.001dd.tif,2009.001dd,primary,,,9434,3801,2533,2008-10-07,2009
Q104032834,2009.001e.tif,2009.001e,primary,,,5911,2159,2794,2008-11-07,2009
Q104032834,2009.001e.jpg,2009.001e,suppress,,,101,389,504,2010-02-24,2009
Q104032835,2009.001ee.jpg,2009.001ee,suppress,,,122,504,340,2010-02-24,2009
Q104032835,2009.001ee.tif,2009.001ee,primary,,,196,504,340,2008-10-07,2009
Q104032836,2009.001f.tif,2009.001f,primary,,,9362,2527,3783,2008-10-07,2009
Q104032836,2009.001f.jpg,2009.001f,suppress,,,91,337,504,2010-02-24,2009
Q104032837,2009.001ff.tif,2009.001ff,primary,,,9122,3693,2521,2008-10-07,2009
Q104032837,2009.001ff.jpg,2009.001ff,suppress,,,117,504,344,2010-02-24,2009
Q104032838,2009.001g.tif,2009.001g,primary,,,5912,2794,2159,2008-11-07,2009
Q104032838,2009.001g.jpg,2009.001g,suppress,,,73,504,389,2010-02-24,2009
Q104032840,2009.001gg.tif,2009.001gg,primary,,,9233,3765,2503,2008-10-07,2009
Q104032840,2009.001gg.jpg,2009.001gg,suppress,,,111,504,335,2010-02-24,2009
Q104032842,2009.001h.jpg,2009.001h,suppress,,,118,504,338,2010-02-24,2009
Q104032842,2009.001h.tif,2009.001h,primary,,,9322,3765,2527,2008-10-07,2009
Q104032843,2009.001hh.tif,2009.001hh,primary,,,9240,3741,2521,2008-10-07,2009
Q104032843,2009.001hh.jpg,2009.001hh,suppress,,,102,504,340,2010-02-24,2009
Q104032844,2009.001i.jpg,2009.001i,suppress,,,102,504,339,2010-02-24,2009
Q104032844,2009.001i.tif,2009.001i,primary,,,9270,3753,2521,2008-10-07,2009
Q104032845,2009.001ii.tif,2009.001ii,primary,,,9240,2521,3741,2008-10-07,2009
Q104032845,2009.001ii.jpg,2009.001ii,suppress,,,122,340,504,2010-02-24,2009
Q104032847,2009.001j.jpg,2009.001j,suppress,,,108,336,504,2010-02-24,2009
Q104032847,2009.001j.tif,2009.001j,primary,,,9379,2527,3788,2008-10-07,2009
Q104032848,2009.001jj.jpg,2009.001jj,suppress,,,101,337,504,2010-02-24,2009
Q104032848,2009.001jj.tif,2009.001jj,primary,,,9313,2521,3771,2008-10-07,2009
