RecordNumber,ImageLink,file_url
29241,1221,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001221.jpg
29242,1222,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001222.jpg
29243,1223,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001223.jpg
29244,1224,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001224.jpg
29245,1225,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001225.jpg
29246,1226,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001226.jpg
29247,1227,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001227.jpg
29248,1228,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001228.jpg
29250,1229,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001229.jpg
29251,1230,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001230.jpg
29252,1231,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001231.jpg
29253,1232,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001232.jpg
29254,1233,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001233.jpg
29255,1234,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001234.jpg
29256,1235,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001235.jpg
29257,1236,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001236.jpg
29258,1237,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001237.jpg
29259,1238,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001238.jpg
29260,1239,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001239.jpg
29261,1240,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001240.jpg
29262,1250,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001250.jpg
29263,1251,https://diglib.library.vanderbilt.edu/cdri/fulljpeg/00001251.jpg
